Car Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Car Age
Maruti Swift,60660,Diesel,Manual,1,2.79,10
Maruti Swift Dzire,150000,Petrol,Manual,2,3.57,6
Mahindra XUV500,48700,Diesel,Manual,2,11.63,4
Maruti OMNI E,55800,Petrol,Manual,3,1.46,10
Volkswagen Vento,49320,Petrol,Manual,1,1.79,15
Maruti Omni,99790,Petrol,Manual,1,1.65,9
Maruti OMNI E,86550,Petrol,Manual,1,1.5,12
Tata Hexa,150000,Diesel,Manual,1,4.77,8
Hyundai Creta,47760,Petrol,Manual,1,9.87,5
Tata PUNCH EV,15570,Electric,Auto,1,10.5,1
Hyundai i20,120000,Diesel,Manual,5,2.31,14
Maruti Alto 800,96290,Petrol,Manual,3,1.41,12
Maruti Wagon R 1.0,64530,Petrol,Manual,3,2.52,14
Maruti A Star,92050,Petrol,Auto,3,2.23,12
Maruti Ciaz,150000,Diesel,Manual,3,5.32,10
Volkswagen Polo,140000,Petrol,Manual,2,4.1,9
Tata Indigo ECS,150000,Diesel,Manual,1,1.0,15
Maruti Wagon R 1.0,99150,Petrol,Manual,2,5.18,8
Hyundai Verna,140000,Diesel,Manual,3,5.14,10
Maruti Ertiga,120000,Petrol,Manual,3,6.19,10
Hyundai VENUE,150000,Diesel,Manual,1,11.14,5
Hyundai Verna,99170,Petrol,Manual,4,3.21,12
Hyundai Creta,100000,Diesel,Manual,1,8.5,8
Maruti Wagon R 1.0,120000,Petrol,Manual,2,2.5,13
Honda City,79290,Petrol,Auto,2,6.78,10
Honda BR-V,290000,Diesel,Manual,1,6.11,9
Maruti Dzire,72020,Petrol,Manual,1,8.5,3
Ford FREESTYLE,68520,Petrol,Manual,1,5.5,4
BMW X1,110000,Diesel,Auto,3,5.09,13
Hyundai Santa Fe,220000,Diesel,Auto,4,5.67,11
Maruti Vitara Brezza,62670,Diesel,Manual,4,5.65,8
Maruti Ritz,190000,Diesel,Manual,2,1.69,14
Renault Kwid,110000,Petrol,Manual,3,1.99,5
Maruti Swift Dzire,150000,Diesel,Manual,4,2.76,11
Hyundai Elite i20,53970,Petrol,Manual,2,4.2,8
Hyundai i20,51020,Petrol,Manual,2,2.33,12
MG HECTOR PLUS,32000,Diesel,Manual,1,18.0,2
Hyundai i10,110000,Petrol,Manual,3,1.59,10
Volkswagen Vento,160000,Diesel,Manual,3,1.45,13
Hyundai i20,160000,Diesel,Manual,4,1.35,13
Mahindra XUV500,94550,Diesel,Manual,3,2.25,13
Honda Amaze,79330,Diesel,Manual,2,2.91,9
Maruti Swift Dzire,120000,Diesel,Manual,7,3.0,11
Datsun Redi Go,120000,Petrol,Manual,2,1.29,7
Renault Duster,160000,Diesel,Manual,3,1.38,13
Maruti Grand Vitara,12050,Petrol,Manual,1,9.7,1
Ford Figo Aspire,93210,Petrol,Manual,1,3.09,9
Volkswagen Polo,140000,Petrol,Manual,3,2.2,12
Maruti Alto,46430,Petrol,Manual,2,3.17,6
Nissan Terrano,98900,Diesel,Manual,4,1.91,11
Maruti Alto 800,160000,Petrol,Manual,1,1.75,10
Nissan Terrano,100000,Diesel,Manual,4,2.0,11
Mahindra Xylo,94580,Diesel,Manual,3,1.93,12
Hyundai Eon,100000,Petrol,Manual,3,1.0,13
Hyundai Grand i10,79500,Diesel,Manual,3,1.75,11
Hyundai Grand i10,78120,Diesel,Manual,1,2.69,12
Hyundai Verna,70760,Petrol,Manual,1,7.47,6
Maruti Swift,91410,Petrol,Manual,1,2.19,14
Volkswagen Ameo,120000,Petrol,Manual,1,3.5,8
Hyundai Verna,200000,Diesel,Manual,3,1.1,15
Maruti Baleno,35750,Petrol,Manual,3,3.95,8
Maruti Ritz,180000,Diesel,Manual,1,1.1,15
Maruti Swift Dzire,140000,Diesel,Manual,3,2.7,12
Tata PUNCH,4120,Petrol,Manual,1,6.12,1
Renault TRIBER,17110,Petrol,Manual,1,5.0,6
Maruti Baleno,80540,Petrol,Manual,2,3.86,9
Honda Brio,75150,Petrol,Manual,3,2.57,11
Maruti Vitara Brezza,100000,Petrol,Manual,1,7.2,4
Honda City,92270,Diesel,Manual,2,3.2,11
Honda City ZX,140000,Petrol,Manual,3,1.04,18
Toyota Etios,120000,Diesel,Manual,2,2.75,11
Maruti Wagon R 1.0,100000,Petrol,Manual,2,1.42,14
Maruti Swift,130000,Diesel,Manual,1,3.04,12
Datsun Redi Go,16500,Petrol,Manual,1,3.4,4
Maruti Alto,110000,Petrol,Manual,3,1.0,14
Honda Amaze,51670,Diesel,Manual,1,6.56,6
Renault Lodgy,140000,Diesel,Manual,1,2.5,10
Maruti Swift,95090,Diesel,Manual,3,2.9,11
Honda City,22750,Petrol,Auto,1,6.99,8
Hyundai Creta,88040,Petrol,Manual,2,7.0,8
Tata Harrier,110000,Diesel,Manual,1,13.0,4
Skoda Superb,76080,Diesel,Auto,1,3.23,13
Mahindra XUV500,91080,Diesel,Manual,3,5.0,10
Mahindra XUV500,120000,Diesel,Auto,2,7.5,8
Tata Harrier,53980,Diesel,Manual,1,15.0,3
Maruti XL6,75430,Petrol,Manual,1,9.2,3
Renault Kiger,91160,Petrol,Manual,1,5.16,4
Maruti IGNIS,66260,Petrol,Manual,1,4.24,2
Toyota Fortuner,360000,Diesel,Manual,1,9.69,13
Tata Tiago,100000,Petrol,Manual,1,3.91,6
Mahindra XUV500,130000,Diesel,Manual,2,5.6,9
Tata NEXON,42610,Petrol,Manual,1,8.2,3
Honda City,93790,Diesel,Manual,2,3.81,11
Jeep Compass,120000,Diesel,Manual,3,8.0,7
KIA SELTOS,90060,Diesel,Manual,1,11.0,3
KIA SONET,59850,Petrol,Manual,1,9.3,2
Hyundai Creta,160000,Diesel,Manual,1,8.45,8
Tata Harrier,46710,Diesel,Manual,1,16.0,2
MG HECTOR,30910,Petrol,Auto,1,15.94,4
Audi A4,120000,Diesel,Auto,3,5.11,14
Toyota Fortuner,160000,Diesel,Manual,3,6.5,14
Hyundai Verna,14140,Petrol,Manual,1,14.9,2
Tata Safari Storme,93000,Diesel,Manual,3,5.0,9
Audi A8L,94850,Diesel,Auto,2,10.0,14
Landrover Freelander 2,130000,Diesel,Auto,1,11.76,11
Hyundai VENUE,76260,Petrol,Auto,1,8.85,6
Tata Harrier,110000,Diesel,Manual,2,9.71,6
Mahindra XUV500,170000,Diesel,Manual,1,3.98,13
Tata NEXON,9730,Petrol,Manual,1,11.5,2
Hyundai Eon,62300,Petrol,Manual,2,1.82,13
Tata Manza,100000,Diesel,Manual,6,1.0,14
Maruti Baleno,52890,Petrol,Auto,3,4.85,8
Maruti Swift,130000,Diesel,Manual,3,3.0,14
Mahindra XUV500,150000,Diesel,Manual,1,8.5,8
Renault Duster,140000,Diesel,Manual,2,5.42,10
Mahindra XUV500,170000,Diesel,Manual,4,4.75,12
Hyundai ALCAZAR,88990,Diesel,Manual,1,13.8,3
Maruti S Cross,110000,Diesel,Manual,2,7.3,8
Mercedes Benz E Class,110000,Diesel,Auto,1,13.5,9
Jeep Compass,48220,Diesel,Manual,2,11.0,8
Maruti Alto 800,17180,Petrol,Manual,2,3.1,9
Chevrolet Beat,33600,Petrol,Manual,2,1.3,11
Hyundai Verna,82170,Petrol,Manual,3,3.35,14
Volkswagen Polo,94400,Diesel,Manual,2,3.99,11
Maruti Swift,250000,Diesel,Manual,1,5.45,11
Tata PUNCH,3420,Petrol,Manual,1,9.5,1
Hyundai i10,56380,Petrol,Auto,2,1.78,15
Maruti Celerio,69200,Petrol,Auto,2,3.0,9
Maruti Ertiga,91580,Petrol,Manual,2,9.5,6
Maruti Ertiga,98440,Petrol,Manual,2,4.5,11
Hyundai NEW SANTRO,110000,Petrol,Manual,1,4.0,7
Ford Ecosport,97820,Diesel,Manual,1,8.0,7
Maruti Eeco,81260,Petrol,Manual,2,5.14,5
Tata PUNCH,35940,Petrol,Manual,1,6.37,2
Mahindra Kuv100,110000,Diesel,Manual,1,2.45,9
Tata Manza,68020,Petrol,Manual,2,1.21,14
Renault TRIBER,39990,Petrol,Manual,3,5.0,6
Maruti Swift Dzire,160000,Petrol,Manual,1,3.0,11
Maruti Alto K10,40210,Petrol,Manual,1,2.1,10
Maruti Swift Dzire,110000,Diesel,Manual,4,1.67,12
Tata Zest,75010,Diesel,Manual,2,1.79,10
Maruti Wagon R 1.0,97160,Petrol,Manual,5,1.97,10
Hyundai Eon,64910,Petrol,Manual,1,1.95,9
Hyundai i20 Active,120000,Diesel,Manual,1,2.8,10
Maruti Ertiga,150000,Diesel,Manual,3,4.25,11
Maruti Swift Dzire,120000,Diesel,Manual,2,4.13,10
Hyundai i10,74620,Petrol,Manual,2,1.0,14
Toyota Etios,80340,Petrol,Manual,3,2.3,11
Datsun Go,19910,Petrol,Manual,1,1.98,8
Maruti Baleno,82130,Petrol,Manual,2,3.53,9
Hyundai Elite i20,44270,Petrol,Manual,2,4.72,8
Honda Amaze,110000,Petrol,Manual,3,2.5,9
Toyota Etios Liva,56200,Petrol,Manual,1,1.53,14
Maruti Ciaz,66990,Diesel,Manual,2,2.9,10
Hyundai Verna,85560,Petrol,Auto,4,3.65,9
Hyundai Eon,100000,Petrol,Manual,3,1.1,13
Maruti Swift Dzire,72000,Petrol,Manual,1,3.5,9
Tata Bolt,180000,Diesel,Manual,2,1.6,11
Maruti Swift Dzire,190000,Diesel,Manual,2,3.5,9
Hyundai i10,85810,Petrol,Manual,2,1.25,13
Hyundai i10,74250,Petrol,Manual,1,1.28,15
Ford Fiesta Classic,140000,Diesel,Manual,1,1.42,13
Maruti Wagon R 1.0,88800,Petrol,Auto,1,2.74,9
Hyundai Verna,110000,Diesel,Manual,2,5.0,8
Honda Jazz,61540,Petrol,Manual,2,1.5,13
Maruti Ertiga,62120,Petrol,Manual,2,8.28,4
Renault Kwid,37780,Petrol,Manual,1,2.81,4
Maruti New Wagon-R,77150,Petrol,Manual,1,4.07,4
Maruti Baleno,38580,Petrol,Manual,1,5.75,4
Hyundai NEW SANTRO,56800,Petrol,Manual,3,3.78,6
Maruti Baleno,120000,Diesel,Manual,1,3.39,9
Maruti New Wagon-R,79840,Petrol,Manual,1,3.99,6
Tata NEXON,29160,Petrol,Manual,1,6.4,4
Chevrolet Captiva,96740,Diesel,Manual,2,2.3,14
Maruti Swift Dzire,110000,Diesel,Manual,2,3.0,10
Mahindra XUV700,24450,Petrol,Auto,1,16.5,2
Tata NEXON,34790,Petrol,Manual,1,6.65,4
Maruti Ciaz,110000,Diesel,Manual,2,3.66,9
Honda City,62500,Petrol,Manual,3,5.72,7
Maruti Ciaz,51870,Petrol,Manual,1,6.9,6
Maruti S PRESSO,9610,Petrol,Manual,1,4.66,3
Mahindra XUV500,78680,Diesel,Manual,2,7.0,8
KIA SONET,97110,Petrol,Manual,1,7.0,5
Hyundai Creta,150000,Diesel,Manual,1,7.13,9
Hyundai Creta,96000,Diesel,Manual,1,6.0,6
Skoda SLAVIA,48400,Petrol,Auto,1,11.5,3
Tata Tiago,64370,Petrol,Auto,1,4.65,6
Hyundai VENUE,30100,Diesel,Manual,1,9.76,2
Mahindra Kuv100,8760,Petrol,Manual,2,2.55,9
Renault Duster,98570,Diesel,Manual,2,3.0,11
Mahindra XUV500,110000,Diesel,Manual,2,2.99,11
Toyota Fortuner,120000,Diesel,Auto,3,8.5,13
Hyundai Creta,100000,Diesel,Manual,1,8.23,5
Hyundai Creta,100000,Diesel,Manual,2,6.6,8
Hyundai Creta,45940,Diesel,Manual,1,12.65,4
Hyundai New Elantra,98540,Diesel,Auto,2,3.14,12
Maruti Swift,90500,Diesel,Manual,1,5.05,6
Hyundai GRAND I10 NIOS,80480,Petrol,Manual,1,5.67,3
Renault Kiger,8570,Petrol,Manual,1,8.0,2
Maruti New Wagon-R,11820,Petrol,Manual,1,5.85,1
Mahindra MARAZZO,440000,Diesel,Manual,1,6.0,6
Toyota Innova,240000,Diesel,Manual,1,3.8,14
Hyundai VENUE,37070,Diesel,Manual,1,9.3,3
Ford Ecosport,110000,Diesel,Manual,2,3.21,10
Maruti Ertiga,55500,Petrol,Manual,2,7.5,6
Hyundai Tucson,110000,Diesel,Auto,2,8.75,8
MG HECTOR,160000,Diesel,Manual,1,11.5,4
Renault Captur,110000,Diesel,Manual,1,4.0,8
Toyota Fortuner,150000,Diesel,Manual,2,6.8,12
Toyota Innova Crysta,94520,Diesel,Manual,1,16.29,6
Hyundai VENUE,54620,Petrol,Manual,1,6.35,4
Honda City,45150,Petrol,Manual,1,2.21,13
Nissan Terrano,130000,Diesel,Manual,2,1.62,11
Hyundai i10,68830,Petrol,Manual,2,1.21,13
Renault Kwid,35000,Petrol,Manual,1,2.66,6
Hyundai NEW I20,12850,Petrol,Manual,2,5.5,2
Hyundai Elite i20,80310,Diesel,Manual,1,3.3,8
Maruti Eeco,20040,Petrol,Manual,1,6.38,1
Tata Zest,89430,Diesel,Manual,1,2.02,10
Renault Kwid,100000,Petrol,Manual,1,1.5,9
Hyundai Grand i10,89870,Diesel,Manual,1,1.89,11
Maruti Swift Dzire,1260000,Diesel,Manual,5,1.67,11
Tata TIGOR,56160,Petrol,Manual,2,2.99,7
Maruti Alto 800,86820,Petrol,Manual,1,2.0,9
BMW X1,60400,Diesel,Auto,2,4.98,13
Maruti Swift,51740,Petrol,Manual,1,1.74,13
Hyundai Eon,62530,Petrol,Manual,2,1.62,11
Honda City,76440,Petrol,Manual,1,1.4,15
Maruti Vitara Brezza,20750,Petrol,Manual,1,6.6,5
Tata Zest,110000,Diesel,Manual,1,2.38,8
Maruti Swift Dzire,150000,Petrol,Manual,1,3.3,10
Ford Figo Aspire,100000,Diesel,Manual,1,1.48,10
Maruti Swift,91380,Petrol,Manual,1,4.8,6
